id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city
38585,Charming Victorian home - twin beds + breakfast,165529,Evelyne,,28804,35.65146,-82.62792,Private room,60,1,138,16/2/2020,1.14,1,0,Asheville
80905,French Chic Loft,427027,Celeste,,28801,35.59779,-82.5554,Entire home/apt,470,1,114,7/9/2020,1.03,11,288,Asheville
108061,Walk to stores/parks/downtown. Fenced yard/Pets OK,320564,Lisa,,28801,35.6067,-82.55563,Entire home/apt,75,30,89,30/11/2019,0.81,2,298,Asheville
155305,Cottage! BonPaul + Sharky's Hostel,746673,BonPaul,,28806,35.57864,-82.59578,Entire home/apt,90,1,267,22/9/2020,2.39,5,0,Asheville
160594,Historic Grove Park,769252,Elizabeth,,28801,35.61442,-82.54127,Private room,125,30,58,19/10/2015,0.52,1,0,Asheville
209068,Terrace Cottage,1029919,Kevin,,28804,35.61856,-82.55276,Entire home/apt,134,7,54,14/1/2020,0.49,1,294,Asheville
213006,Blue Gate West,1098412,Susanne,,28806,35.58345,-82.59713,Private room,48,1,137,30/11/2019,1.35,1,0,Asheville
246315,Asheville Dreamer's Cabin,1292070,Annie,,28805,35.59635,-82.50655,Private room,65,3,57,30/10/2019,0.53,2,106,Asheville
259576,"Private, peaceful, and free goat therapy",1362726,Julia,,28805,35.61929,-82.48114,Entire home/apt,71,28,537,5/4/2020,5.01,1,207,Asheville
295496,The Fern Street Apt near Biltmore,1501882,Debbie,,28803,35.55537,-82.53539,Entire home/apt,50,90,31,14/6/2019,0.29,1,339,Asheville
304379,Refocus Cottage - paradise,1566145,Gayle,,28804,35.64453,-82.52586,Entire home/apt,289,30,24,3/8/2019,0.23,2,0,Asheville
353092,Athena's Loft:  Find yourself here!,1788071,Beth,,28806,35.58217,-82.59997,Entire home/apt,78,4,497,15/3/2020,5.76,1,315,Asheville
427497,Luxurious Mountain Guest Suite Apartment,1909922,Milan,,28803,35.49111,-82.48438,Entire home/apt,125,2,40,17/8/2020,0.42,1,339,Asheville
436476,"8 min Walk to DT AVL! Hip, Chic, CLEAN & Charming.",478398,Heidi,,28801,35.60182,-82.56174,Entire home/apt,126,3,289,15/9/2020,2.86,3,96,Asheville
483384,"Romantic, Moroccan-Influenced Cottage",467421,Camille,,28803,35.56118,-82.57784,Entire home/apt,118,2,466,17/9/2020,6.39,1,0,Asheville
495111,Walk Downtown private bath peaceful,12874214,David,,28801,35.60371,-82.55621,Private room,85,2,338,13/9/2020,3.36,3,0,Asheville
498089,Urban Getaway - Perfect Location,2164379,Anne Marie,,28801,35.61115,-82.54376,Entire home/apt,50,30,130,17/2/2020,1.29,1,141,Asheville
528535,Dwntwn Studio w/ lots of character,2596933,B,,28801,35.60075,-82.5539,Entire home/apt,97,30,352,2/8/2020,3.5,2,32,Asheville
539020,Comfy/quiet West Asheville getaway,2647849,Kim,,28806,35.57318,-82.59976,Entire home/apt,74,2,185,17/11/2019,1.86,1,297,Asheville
621243,The birdhouse.Sweet suite! Downtown Roof top deck!,3079174,Molly,,28801,35.60418,-82.54964,Entire home/apt,160,30,69,10/9/2020,2.25,1,161,Asheville
634319,Private Asheville Cabin Apartment,1202653,Jim And Jan,,28805,35.62839,-82.47989,Entire home/apt,150,3,30,1/9/2019,0.31,1,266,Asheville
660702,Private Home 1 mile to downtown,3335271,Brady,,28804,35.62166,-82.55373,Entire home/apt,91,1,458,9/9/2020,8.15,1,340,Asheville
674894,Lovely mountain home with a view!,614610,Linda,,28805,35.62272,-82.50285,Private room,41,2,184,8/9/2020,2.04,2,347,Asheville
695196,"Private, Downtown & River Arts",3552264,Michelle,,28801,35.58131,-82.55741,Private room,52,1,966,13/9/2020,9.93,2,334,Asheville
720609,City Vibe Loft,427027,Celeste,,28801,35.59787,-82.55336,Entire home/apt,312,1,88,30/8/2020,0.91,11,345,Asheville
723349,#2 Blue Ridge Room at Oakland Cottage B&B,3736218,Mary,,28801,35.57468,-82.55705,Private room,169,2,7,13/7/2020,0.09,7,0,Asheville
